ID	Uniprot
ATF4	P18848
CENPA	P49450
NEUROD1	Q13562
ZNF544	Q6NX49
METTL3	Q86U44
ZNF248	Q8NDW4
ZNF2	Q9BSG1
PHF20	Q9BVI0
ZSCAN16	Q9H4T2
SSU72	Q9NP77
HDAC6	Q9UBN7
HMGXB4	Q9UGU5
ZNF652	Q9Y2D9
ZBTB1	Q9Y2K1
ZNF281	Q9Y2X9
ZBTB11	O95625
NPM1	P06748
FOSL2	P15408
ZNF20	P17024
ERCC2	P18074
NFKB1	P19838
AFF1	P51825
TRIM28	Q13263
TAF7	Q15545
ASXL2	Q76L83
ZNF554	Q86TJ5
ZSCAN29	Q8IWY8
HOXB13	Q92826
HIC2	Q96JB3
ZFP91	Q96JP5
RBM15	Q96T37
SALL3	Q9BXA9
ZNF331	Q9NQX6
ZBTB12	Q9Y330
KDM3A	Q9Y4C1
NR5A2	O00482
CHD1	O14646
NUP214	P35658
LHX1	P48742
IRX5	P78411
PRKDC	P78527
ZNF169	Q14929
ZNF423	Q2M1K9
ZNF792	Q3KQV3
GFI1B	Q5VTD9
NFRKB	Q6P4R8
CHAMP1	Q96JM3
XRN2	Q9H0D6
SAP130	Q9H0E3
UBN1	Q9NPG3
ZNF224	Q9NZL3
ZNF236	Q9UL36
ZNF214	Q9UL59
SCML2	Q9UQR0
SETBP1	Q9Y6X0
XPO1	O14980
KDM1A	O60341
KAT7	O95251
BRD1	O95696
COIL	P38432
EWSR1	Q01844
ZNF85	Q03923
PRDM2	Q13029
TRIM25	Q14258
HES1	Q14469
NFE2L1	Q14494
ARID5B	Q14865
TAF3	Q5VWG9
ZNF101	Q8IZC7
ZSCAN4	Q8NAM6
ZNF514	Q96K75
REPIN1	Q9BWE0
KDM5D	Q9BY66
ZNF580	Q9UK33
NR2E3	Q9Y5X4
ETV2	O00321
SMARCA1	P28370
ELF1	P32519
PCGF2	P35227
MCM2	P49736
ZNF445	P59923
MDM2	Q00987
GABPB1	Q06547
TRIP13	Q15645
HIF1A	Q16665
ZNF280D	Q6N043
ZNF529	Q6P280
BCOR	Q6W2J9
PCGF5	Q86SE9
ZNF740	Q8NDX6
GATA6	Q92908
ZNF521	Q96K83
HEYL	Q9NQ87
ZNF221	Q9UK13
HIF3A	Q9Y2N7
ZBTB42	B2RXF5
MEIS2	O14770
SOX15	O60248
ZNF23	P17027
RFX2	P48378
SOX2	P48431
MAX	P61244
IRX3	P78415
NKX6-1	P78426
ID3	Q02535
CREM	Q03060
NFATC3	Q12968
LDB1	Q86U70
BBX	Q8WY36
HDAC2	Q92769
SRPK1	Q96SB4
RBM22	Q9NW64
PRDM4	Q9UKN5
ASF1A	Q9Y294
GTF3C5	Q9Y5Q8
FOXH1	O75593
TOP1	P11387
SRF	P11831
BRD2	P25440
SOX5	P35711
AHR	P35869
NR2C2	P49116
RBM25	P49756
HDGF	P51858
MBTD1	Q05BQ5
DLX2	Q07687
CHAF1A	Q13111
TCOF1	Q13428
CCAR2	Q8N163
ARNTL2	Q8WYA1
ING5	Q8WYH8
KAT5	Q92993
ZNF639	Q9UID6
KLF15	Q9UIH9
TCFL5	Q9UL49
WDHD1	O75717
NFATC1	O95644
AR	P10275
TCF3	P15923
HOXB6	P17509
NKX2-1	P43699
ATRX	P46100
ELF3	P78545
SP3	Q02447
TWIST1	Q15672
NCAPH2	Q6IBW4
PHC2	Q8IXK0
ZNF34	Q8IZ26
ZNF579	Q8NAF0
DPF2	Q92785
ZNF300	Q96RE9
ELF4	Q99607
NXF1	Q9UBU9
GMEB2	Q9UKD1
ZNF215	Q9UL58
MBD3	O95983
GLI3	P10071
ETS1	P14921
PAX6	P26367
RPA1	P27694
MCM7	P33993
CTNNB1	P35222
HDAC4	P56524
CSHL1	Q14406
SETDB1	Q15047
ELF2	Q15723
ZSCAN26	Q16670
GREB1	Q4ZG55
ZNF547	Q8IVP9
ZNF454	Q8N9F8
TEAD3	Q99594
ZBTB20	Q9HC78
CHTOP	Q9Y3Y2
MAFB	Q9Y5Q3
ZNF320	A2RRD8
MTA2	O94776
MBL2	P11226
ETS2	P15036
SPI1	P17947
MYH11	P35749
FXR2	P51116
HIC1	Q14526
SIX1	Q15475
ZNF174	Q15697
HOMEZ	Q8IX15
MYOCD	Q8IZQ8
ZNF433	Q8N7K0
ZNF398	Q8TD17
ZNF419	Q96HQ0
ZBTB26	Q9HCK0
ASH2L	Q9UBL3
AGO1	Q9UL18
ZMYND8	Q9ULU4
KLF11	O14901
SMC2	O95347
ZBTB25	P24278
PEX2	P28328
DEK	P35659
PDX1	P52945
CREB5	Q02930
