Bladder	Blood	Bone_Marrow	Eye	Fat	Heart	Large_Intestine	Liver	Lung	Lymph_Node	Mammary	Muscle	Pancreas	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Thymus	Tongue	Trachea	Uterus	Vasculature
NFYA	619.405369780209	1473.78876096345	481.591496530517	70.9995443996639	406.710537246774	153.050208848742	320.402980207637	33.3857206843335	538.385454780369	2119.43029980923	297.456597772171	906.330419524631	172.112847480721	265.59669715026	656.381987202127	288.081906901944	262.285504420671	1356.98972346122	792.366839801466	99.4423490088028	183.608492543846	177.225611321939	168.809077151359
HOXC8	16.684175311161	0	0	0	352.940840628747	0	2.79287367726992	0	1.01983431693427	1.55029733739016	132.915395078314	835.562172218483	0	1.81655885802502	1.76570417195342	113.956579777905	2.33296537493603	0	57.7989996765261	0.7960832458614	1.93257247558438	2.44851489111335	147.633279989655
RARA	1961.67309337325	5339.96309263582	610.837387654009	78.50405852947	1241.07575040975	567.884200317581	1270.48010162262	150.607281646848	2386.95955782106	2281.77405529917	753.401944778672	2074.76741719351	756.34618443177	596.203199410457	915.522057243633	1619.44673158722	567.914667838128	3010.60199729451	1374.25759573206	288.617865426654	712.262729053149	608.674856639451	650.970374142174
SHOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB1	7698.11536213739	6859.75971684205	1327.54340891238	410.599609138452	2479.30412494241	686.731897411626	4534.35273722981	382.504523500206	2892.58983235109	7944.46091127789	1576.45807126844	5783.71299082456	975.673944150394	898.986201274307	3150.87098301787	2886.18941275959	2489.00580907635	7266.43326965879	3670.47470073735	553.675761670063	1295.2320848405	1603.85671596067	1260.53954286995
E2F4	1281.7509884373	2854.08794503493	355.755863533507	107.285610753967	1143.04997206359	794.656068700756	702.37867808845	84.0950713561486	1856.07310755324	4381.31236686555	527.714926388918	1782.79214385395	890.83812088448	794.616140093402	1557.66288340977	1236.00822300984	580.783125043923	2385.53139538724	2481.37256679993	200.264277809384	655.094350653014	368.520373208823	769.875545016468
NR4A1	14110.3154266834	358.024211526418	193.462937363612	967.029256007399	6578.0319752214	941.075346491867	4186.96884187813	687.736628410285	9249.33961046153	19911.5699533665	1480.79041611282	18343.2146611046	1156.30662959743	8374.21043140869	9736.82909783654	2164.15766208154	2462.23489342116	7761.53093477841	6440.87114528389	1382.92341554996	1561.12975335548	3270.69657489851	4297.27890639708
IRX4	0	0	0	1.06101001449014	1.64531346147288	398.486835201957	0	0	1.56114513884376	0	128.678926317857	14.4111988900067	0	13.0123129062668	68.4881947383844	14.9892808755641	0	0.802618187429747	0	12.8555481190426	1.13295575489313	3.64524134047095	15.2686738469823
NCOA3	2624.41230552295	6793.67094401039	1391.54302039915	378.27101841386	2673.19416659644	1824.89368320071	1388.34721634022	238.45071545394	4439.45361545922	15086.776432681	1275.20267647221	5464.90280832772	1268.2814511124	1305.40132479937	5009.90636020495	1553.23338787173	911.363041350113	6163.56169146558	7804.77580559451	541.02600674032	997.104505251196	630.385992811462	1468.87135155565
RXRG	15.6147472099364	0	0	0	17.1195503930589	303.660201665148	49.546084359112	0	83.7117574988973	0	0	117.913402061551	7.73991970762709	1.76878791544226	5.52690322961568	2.83227924026638	11.9418851315197	0	12.9525682258147	2.84299960204078	0	7.27583143659018	21.1425336779748
ATF3	12399.8037575189	463.206464282684	79.3442307756005	1398.82012492758	5814.91729516821	504.797130805374	4940.52222432186	554.464392097497	3998.42260263078	6255.78229468122	1505.46191480153	18840.6005758216	478.918432079899	6745.86454170533	10056.6360889842	1472.66141717229	2014.54708292547	1897.13184842956	2217.40653796474	912.925074005788	1619.84069668892	3695.95103971847	3330.29687423378
REL	9757.42853701037	11450.8115908155	1583.0241033911	650.335935904517	3419.26762892713	245.341974854169	6849.0490420895	580.929538145619	4558.17392651155	23355.1966118312	1897.61215798607	4536.08429778491	975.970575488602	1648.1342812437	7924.15513899557	3335.11715115549	5160.08011067205	16294.2548704331	8434.19205325108	1284.00127154643	1873.23512430731	1730.71998104179	1443.81696216845
GLI3	686.903366593754	13.5215998949527	0.930999123119333	67.4383059163351	454.776589248375	131.981266512721	297.631688577637	1.64545886468011	480.680500653207	5.80291342355116	404.700833209444	2091.98462811577	95.8899574203141	183.932075667132	407.770145252324	214.937027069202	29.8439275196189	32.482618037963	279.349986659473	54.4494042936355	387.850453031715	140.074927681803	269.286075523274
NCOA1	2853.63468068335	9064.83381634493	1082.06783999691	188.621858221531	2138.61988754549	804.937629220795	997.936727727982	198.087287225025	2868.64844189884	6187.13167872743	862.914001568725	5308.74135257302	1028.33083823855	1286.01766223728	2842.85905873535	733.878069124472	624.617594434095	6841.22714356846	3281.91181538839	378.009862324302	980.065368853705	490.136090032528	1213.59671107468
ARNT	1421.44783781577	2716.51768611599	515.615083193041	93.9703802522559	951.208900356265	545.817849828396	282.933456510866	90.6273763726523	1767.1816776296	2171.90301475985	710.9855193277	1756.06141943668	410.170729331543	560.501244797547	1019.64063186095	556.430101510862	179.644564395538	1558.53974585639	1394.47082375791	155.782061460288	340.649223250069	282.757632269241	798.334418743369
