PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
AD2U	1	H03	3223	147	0	NA	18	P03259	NA	H	03
PGADT7	1	H03	2147	74	0	NA	11	ENSG00000168214	NA	H	03
AD2U	1	H04	118943	59791	0	NA	56296	P03256	NA	H	04
PGADT7	1	H04	9888	2841	0	NA	2373	ENSG00000141646	NA	H	04
AD2U	1	H05	66422	34464	32762	P03255	32762	P03255	Yes	H	05
PGADT7	1	H05	740	148	0	ENSG00000101412	44	ENSG00000163320	No	H	05
AD2U	1	H06	69	8	0	NA	6	ENSG00000163320	NA	H	06
PGADT7	1	H06	0	0	0	NA	NA	NA	NA	H	06
AD2U	1	H07	91576	22473	19318	P03129	19318	P03129	Yes	H	07
PGADT7	1	H07	17965	7248	6677	ENSG00000290292	6677	ENSG00000290292	Yes	H	07
AD2U	1	H08	29992	15665	14598	P16812	14598	P16812	Yes	H	08
PGADT7	1	H08	13786	5135	4812	ENSG00000105392	4812	ENSG00000105392	Yes	H	08
AD2U	1	H09	14549	6317	12	P06500	5302	ENSG00000162599	No	H	09
PGADT7	1	H09	2604	686	567	ENSG00000162599	567	ENSG00000162599	Yes	H	09
AD2U	1	H10	46295	21734	20137	P03120	20137	P03120	Yes	H	10
PGADT7	1	H10	1571	377	228	ENSG00000123358	228	ENSG00000123358	Yes	H	10
AD2U	1	H11	30328	14537	13585	P06500	13585	P06500	Yes	H	11
PGADT7	1	H11	700	69	0	NA	22	ENSG00000163320	NA	H	11
AD2U	1	H12	50634	25487	24014	P03255	24014	P03255	Yes	H	12
PGADT7	1	H12	1601	143	0	NA	31	ENSG00000163320	NA	H	12
AD2U	2	A01	10860	930	0	NA	387	Q9JFM0	NA	A	01
PGADT7	2	A01	6630	231	0	NA	32	ENSG00000169016	NA	A	01
AD2U	2	A02	7472	411	0	NA	64	P03256	NA	A	02
PGADT7	2	A02	4158	129	0	NA	20	ENSG00000169016	NA	A	02
AD2U	2	A03	510	61	0	NA	10	P03256	NA	A	03
PGADT7	2	A03	182	14	0	NA	3	ENSG00000137947	NA	A	03
AD2U	2	A04	10132	651	0	NA	95	P03256	NA	A	04
PGADT7	2	A04	5355	206	0	NA	46	ENSG00000169016	NA	A	04
AD2U	2	A05	9847	514	0	NA	74	P03256	NA	A	05
PGADT7	2	A05	5618	215	0	NA	40	ENSG00000169016	NA	A	05
AD2U	2	A06	8223	426	0	NA	69	P03256	NA	A	06
PGADT7	2	A06	4124	118	0	NA	20	ENSG00000162772	NA	A	06
AD2U	2	A07	984	83	0	NA	12	P06932	NA	A	07
PGADT7	2	A07	490	18	0	NA	4	ENSG00000162772	NA	A	07
AD2U	2	A08	8518	444	0	NA	73	P03256	NA	A	08
PGADT7	2	A08	5298	198	0	NA	38	ENSG00000169016	NA	A	08
AD2U	2	A09	6031	364	0	NA	61	P03256	NA	A	09
PGADT7	2	A09	3981	192	0	NA	50	ENSG00000163320	NA	A	09
AD2U	2	A10	7397	473	0	NA	66	A3F905	NA	A	10
PGADT7	2	A10	4498	136	0	NA	25	ENSG00000162772	NA	A	10
AD2U	2	A11	3789	234	0	NA	31	P03256	NA	A	11
PGADT7	2	A11	2223	72	0	NA	12	ENSG00000169016	NA	A	11
AD2U	2	A12	2605	113	0	NA	11	Q9JFM0	NA	A	12
PGADT7	2	A12	1507	46	0	NA	10	ENSG00000169016	NA	A	12
