PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	6	D09	4469	681	368	ENSG00000109101	368	ENSG00000109101	Yes	D	09
AD2U	6	D10	8573	841	0	NA	164	P06788	NA	D	10
PGADT7	6	D10	32567	10373	9977	ENSG00000166949	9977	ENSG00000166949	Yes	D	10
AD2U	6	D11	39866	1393	0	P03126	231	P06788	No	D	11
PGADT7	6	D11	1335	67	0	ENSG00000168286	11	ENSG00000158773	No	D	11
AD2U	6	D12	5460	337	0	NA	49	P06788	NA	D	12
PGADT7	6	D12	2501	61	0	NA	10	ENSG00000153879	NA	D	12
AD2U	6	E01	173131	42305	1221	A3F906	36831	P06788	No	E	01
PGADT7	6	E01	2738	304	0	ENSG00000137203	86	ENSG00000131849	No	E	01
AD2U	6	E02	67425	33077	30658	P03120	30658	P03120	Yes	E	02
PGADT7	6	E02	8872	2658	2468	ENSG00000173153	2468	ENSG00000173153	Yes	E	02
AD2U	6	E03	205665	48888	41460	P03129	41460	P03129	Yes	E	03
PGADT7	6	E03	23087	6998	0	ENSG00000162924	6424	ENSG00000158773	No	E	03
AD2U	6	E04	11783	3392	126	F5HCV3	624	P06788	No	E	04
PGADT7	6	E04	270522	2483	0	ENSG00000140396	350	ENSG00000153879	No	E	04
AD2U	6	E05	218269	53844	48166	P06788	48166	P06788	Yes	E	05
PGADT7	6	E05	17356	4457	3947	ENSG00000171223	3947	ENSG00000171223	Yes	E	05
AD2U	6	E06	149239	70637	64766	P06463	64766	P06463	Yes	E	06
PGADT7	6	E06	83520	935	0	ENSG00000086102	118	ENSG00000153879	No	E	06
AD2U	6	E07	134187	71314	67369	P0C746	67369	P0C746	Yes	E	07
PGADT7	6	E07	11018	339	0	ENSG00000130522	32	ENSG00000153879	No	E	07
AD2U	6	E08	68442	36847	34764	P16812	34764	P16812	Yes	E	08
PGADT7	6	E08	829	69	0	ENSG00000005102	14	ENSG00000153879	No	E	08
AD2U	6	E09	9933	594	0	NA	96	P06788	NA	E	09
PGADT7	6	E09	5289	147	0	NA	17	ENSG00000153879	NA	E	09
AD2U	6	E10	265513	36377	27699	F5HES7	27699	F5HES7	Yes	E	10
PGADT7	6	E10	3954	352	0	NA	59	ENSG00000153879	NA	E	10
AD2U	6	E11	9793	2892	0	P19893	2464	P03169	No	E	11
PGADT7	6	E11	5285	127	0	NA	12	ENSG00000172262	NA	E	11
AD2U	6	E12	11255	700	0	NA	125	P06788	NA	E	12
PGADT7	6	E12	6306	210	0	NA	20	ENSG00000172262	NA	E	12
AD2U	6	F01	82973	38042	34770	P06790	34770	P06790	Yes	F	01
PGADT7	6	F01	4318	173	0	ENSG00000278062	27	ENSG00000153879	No	F	01
AD2U	6	F02	161178	74879	69559	P06463	69559	P06463	Yes	F	02
PGADT7	6	F02	5244	981	715	ENSG00000173480	715	ENSG00000173480	Yes	F	02
AD2U	6	F03	15718	888	0	NA	165	P06788	NA	F	03
PGADT7	6	F03	16402	4948	4692	ENSG00000131759	4692	ENSG00000131759	Yes	F	03
AD2U	6	F04	217227	46843	40001	A3F906	40001	A3F906	Yes	F	04
PGADT7	6	F04	3620	414	119	ENSG00000282899	119	ENSG00000282899	Yes	F	04
AD2U	6	F05	181029	97351	92684	P0C746	92684	P0C746	Yes	F	05
PGADT7	6	F05	2298	193	1	ENSG00000082641	35	ENSG00000153879	No	F	05
AD2U	6	F06	5961	2186	0	NA	1976	P06463	NA	F	06
PGADT7	6	F06	1922	51	0	NA	4	ENSG00000172262	NA	F	06
AD2U	6	F07	26926	12538	11182	P06921	11182	P06921	Yes	F	07
PGADT7	6	F07	21237	4273	3931	ENSG00000188295	3931	ENSG00000188295	Yes	F	07
AD2U	6	F08	202269	51834	46711	P06788	46711	P06788	Yes	F	08
PGADT7	6	F08	5082	865	569	ENSG00000136997	569	ENSG00000136997	Yes	F	08
AD2U	6	F09	105571	46476	41665	P06930	41665	P06930	Yes	F	09
PGADT7	6	F09	127942	1350	13	ENSG00000078900	184	ENSG00000153879	No	F	09
AD2U	6	F10	59601	30283	27954	A3F908	27954	A3F908	Yes	F	10
PGADT7	6	F10	22125	5894	5419	ENSG00000198040	5419	ENSG00000198040	Yes	F	10
AD2U	6	F11	70288	29648	26859	P06790	26859	P06790	Yes	F	11
PGADT7	6	F11	4579	1287	1104	ENSG00000173153	1104	ENSG00000173153	Yes	F	11
AD2U	6	F12	401	93	0	NA	21	P03129	NA	F	12
PGADT7	6	F12	72	12	0	NA	3	ENSG00000198040	NA	F	12
AD2U	6	G01	3697	464	0	NA	83	P06788	NA	G	01
PGADT7	6	G01	11738	2771	0	ENSG00000134954	2526	ENSG00000168214	No	G	01
AD2U	6	G02	3924	303	0	NA	58	P06788	NA	G	02
PGADT7	6	G02	2213	79	0	NA	9	ENSG00000153879	NA	G	02
AD2U	6	G03	6938	435	0	NA	68	P06788	NA	G	03
PGADT7	6	G03	3129	94	0	NA	12	ENSG00000166949	NA	G	03
AD2U	6	G04	36652	18203	16693	P03120	16693	P03120	Yes	G	04
PGADT7	6	G04	521	35	0	ENSG00000124813	7	ENSG00000158773	No	G	04
AD2U	6	G05	42898	11065	9367	P03129	9367	P03129	Yes	G	05
PGADT7	6	G05	738	65	2	ENSG00000131849	16	ENSG00000153879	No	G	05
AD2U	6	G06	148913	26729	21174	P04608	21174	P04608	Yes	G	06
PGADT7	6	G06	3236	409	180	ENSG00000173039	180	ENSG00000173039	Yes	G	06
AD2U	6	G07	60864	28350	25965	P14079	25965	P14079	Yes	G	07
PGADT7	6	G07	5870	1609	1439	ENSG00000128272	1439	ENSG00000128272	Yes	G	07
AD2U	6	G08	66593	30923	28484	A3F905	28484	A3F905	Yes	G	08
PGADT7	6	G08	1019	100	6	ENSG00000173480	19	ENSG00000153879	No	G	08
AD2U	6	G09	52104	25479	23528	P03120	23528	P03120	Yes	G	09
PGADT7	6	G09	2637	112	0	ENSG00000112182	15	ENSG00000153879	No	G	09
AD2U	6	G10	9412	4183	3013	P03120	3013	P03120	Yes	G	10
PGADT7	6	G10	56168	11457	10866	ENSG00000144747	10866	ENSG00000144747	Yes	G	10
AD2U	6	G11	2001	422	0	NA	66	P06788	NA	G	11
PGADT7	6	G11	25450	8061	7718	ENSG00000173480	7718	ENSG00000173480	Yes	G	11
AD2U	6	G12	7040	461	0	NA	74	P06788	NA	G	12
PGADT7	6	G12	3346	96	0	NA	12	ENSG00000166949	NA	G	12
AD2U	6	H01	161175	85499	81170	P0C746	81170	P0C746	Yes	H	01
PGADT7	6	H01	2424	238	56	ENSG00000128272	56	ENSG00000128272	Yes	H	01
AD2U	6	H02	10954	677	0	NA	93	P06788	NA	H	02
PGADT7	6	H02	5767	161	0	NA	27	ENSG00000172262	NA	H	02
AD2U	6	H03	4523	1022	0	NA	173	P06788	NA	H	03
PGADT7	6	H03	71516	23963	23240	ENSG00000153879	23240	ENSG00000153879	Yes	H	03
AD2U	6	H04	13853	673	0	NA	95	P06788	NA	H	04
PGADT7	6	H04	271	20	0	ENSG00000178573	3	ENSG00000153879	No	H	04
AD2U	6	H05	28720	12063	9449	P14079	9449	P14079	Yes	H	05
PGADT7	6	H05	154123	5126	3340	ENSG00000196417	3340	ENSG00000196417	Yes	H	05
AD2U	6	H06	218131	60496	53900	P06932	53900	P06932	Yes	H	06
PGADT7	6	H06	9442	2185	1761	ENSG00000131849	1761	ENSG00000131849	Yes	H	06
AD2U	6	H07	14343	626	0	NA	109	P06788	NA	H	07
PGADT7	6	H07	358	43	15	ENSG00000005102	15	ENSG00000005102	Yes	H	07
AD2U	6	H08	11906	755	0	NA	126	P06788	NA	H	08
PGADT7	6	H08	7492	177	0	NA	19	ENSG00000172262	NA	H	08
AD2U	6	H09	7565	456	0	NA	83	P06788	NA	H	09
PGADT7	6	H09	4187	135	0	NA	16	ENSG00000166949	NA	H	09
AD2U	6	H10	45343	1938	0	P03126	301	P06788	No	H	10
PGADT7	6	H10	29167	9609	9121	ENSG00000136997	9121	ENSG00000136997	Yes	H	10
AD2U	6	H11	149012	38878	34635	P06788	34635	P06788	Yes	H	11
PGADT7	6	H11	23940	7073	0	ENSG00000162924	6631	ENSG00000158773	No	H	11
AD2U	6	H12	9470	645	0	NA	197	P06788	NA	H	12
PGADT7	6	H12	5762	184	0	NA	40	ENSG00000158773	NA	H	12
AD2U	7	A01	1979	148	0	NA	33	P03129	NA	A	01
PGADT7	7	A01	659	32	0	NA	6	ENSG00000168286	NA	A	01
AD2U	7	A02	5736	1187	0	NA	200	A3F905	NA	A	02
PGADT7	7	A02	91439	30898	29655	ENSG00000163516	29655	ENSG00000163516	Yes	A	02
AD2U	7	A03	102222	48004	45275	A3F905	45275	A3F905	Yes	A	03
PGADT7	7	A03	2248	448	201	ENSG00000166949	201	ENSG00000166949	Yes	A	03
AD2U	7	A04	112382	29925	25979	P06932	25979	P06932	Yes	A	04
PGADT7	7	A04	82104	8017	6514	ENSG00000177606	6514	ENSG00000177606	Yes	A	04
AD2U	7	A05	129309	33087	29589	P06932	29589	P06932	Yes	A	05
PGADT7	7	A05	20451	6275	5629	ENSG00000125347	5629	ENSG00000125347	Yes	A	05
AD2U	7	A06	8050	394	0	NA	82	P03129	NA	A	06
PGADT7	7	A06	4268	1213	1117	ENSG00000282899	1117	ENSG00000282899	Yes	A	06
AD2U	7	A07	108645	50406	47062	P06463	47062	P06463	Yes	A	07
PGADT7	7	A07	3158	714	402	ENSG00000166949	402	ENSG00000166949	Yes	A	07
AD2U	7	A08	130640	34907	29849	P06932	29849	P06932	Yes	A	08
PGADT7	7	A08	12670	3405	2807	ENSG00000172262	2807	ENSG00000172262	Yes	A	08
AD2U	7	A09	20522	1645	0	P03126	266	P06932	No	A	09
PGADT7	7	A09	97193	1328	0	ENSG00000086102	246	ENSG00000163516	No	A	09
AD2U	7	A10	29717	13564	12657	P06726	12657	P06726	Yes	A	10
PGADT7	7	A10	5655	200	0	NA	27	ENSG00000136997	NA	A	10
AD2U	7	A11	10100	585	0	NA	97	P03129	NA	A	11
PGADT7	7	A11	7357	221	0	ENSG00000171425	35	ENSG00000136997	No	A	11
AD2U	7	A12	10146	614	0	NA	116	A3F905	NA	A	12
PGADT7	7	A12	526	55	0	ENSG00000157554	14	ENSG00000144747	No	A	12
AD2U	7	B01	5355	375	0	NA	99	A3F905	NA	B	01
PGADT7	7	B01	2966	112	0	NA	29	ENSG00000168286	NA	B	01
AD2U	7	B02	1007	42	0	NA	11	A3F905	NA	B	02
PGADT7	7	B02	705	17	0	NA	3	ENSG00000163516	NA	B	02
AD2U	7	B03	136386	63089	59194	A3F905	59194	A3F905	Yes	B	03
PGADT7	7	B03	10565	3202	2677	ENSG00000136997	2677	ENSG00000136997	Yes	B	03
AD2U	7	B04	18724	8942	8228	P06921	8228	P06921	Yes	B	04
PGADT7	7	B04	3648	131	0	ENSG00000278062	26	ENSG00000163516	No	B	04
AD2U	7	B05	56237	12551	10739	P03129	10739	P03129	Yes	B	05
PGADT7	7	B05	15961	5478	5164	ENSG00000136997	5164	ENSG00000136997	Yes	B	05
AD2U	7	B06	153638	67875	62020	P06930	62020	P06930	Yes	B	06
PGADT7	7	B06	98967	1589	0	ENSG00000086102	295	ENSG00000163516	No	B	06
AD2U	7	B07	3336	158	0	NA	34	A3F905	NA	B	07
PGADT7	7	B07	2152	54	0	NA	11	ENSG00000144747	NA	B	07
AD2U	7	B08	98899	43793	40670	P06930	40670	P06930	Yes	B	08
PGADT7	7	B08	6774	1858	1516	ENSG00000173480	1516	ENSG00000173480	Yes	B	08
AD2U	7	B09	49975	24119	22199	P06921	22199	P06921	Yes	B	09
PGADT7	7	B09	8033	250	0	ENSG00000112182	51	ENSG00000144747	No	B	09
AD2U	7	B10	15469	6778	5219	P06921	5219	P06921	Yes	B	10
PGADT7	7	B10	88335	17613	16396	ENSG00000144747	16396	ENSG00000144747	Yes	B	10
AD2U	7	B11	8845	1458	0	NA	234	A3F905	NA	B	11
PGADT7	7	B11	100147	14464	12857	ENSG00000177606	12857	ENSG00000177606	Yes	B	11
AD2U	7	B12	96954	23247	20440	P03129	20440	P03129	Yes	B	12
PGADT7	7	B12	1697	246	0	ENSG00000005102	57	ENSG00000163516	No	B	12
AD2U	7	C01	8179	435	0	NA	91	P03129	NA	C	01
PGADT7	7	C01	4573	145	0	NA	34	ENSG00000168286	NA	C	01
AD2U	7	C02	100837	50947	47968	A3F908	47968	A3F908	Yes	C	02
PGADT7	7	C02	2141	442	231	ENSG00000180806	231	ENSG00000180806	Yes	C	02
AD2U	7	C03	7548	424	0	NA	87	P03129	NA	C	03
PGADT7	7	C03	5522	140	0	ENSG00000165030	23	ENSG00000168286	No	C	03
AD2U	7	C04	63876	31709	29336	A3F908	29336	A3F908	Yes	C	04
PGADT7	7	C04	44477	14188	13252	ENSG00000177311	13252	ENSG00000177311	Yes	C	04
AD2U	7	C05	167308	42596	38096	P06932	38096	P06932	Yes	C	05
PGADT7	7	C05	19835	6264	5564	ENSG00000136997	5564	ENSG00000136997	Yes	C	05
AD2U	7	C06	21696	800	0	P03126	159	A3F905	No	C	06
PGADT7	7	C06	2258	115	0	NA	19	ENSG00000168286	NA	C	06
AD2U	7	C07	51424	25407	23307	P06790	23307	P06790	Yes	C	07
PGADT7	7	C07	1890	179	0	ENSG00000112182	37	ENSG00000168286	No	C	07
AD2U	7	C08	30366	14202	12079	P06790	12079	P06790	Yes	C	08
PGADT7	7	C08	82999	16599	15349	ENSG00000144747	15349	ENSG00000144747	Yes	C	08
AD2U	7	C09	46229	10325	8930	P03129	8930	P03129	Yes	C	09
PGADT7	7	C09	878	128	10	ENSG00000137203	25	ENSG00000144747	No	C	09
AD2U	7	C10	2838	777	29	A3F906	137	A3F905	No	C	10
PGADT7	7	C10	23699	2836	2513	ENSG00000170345	2513	ENSG00000170345	Yes	C	10
AD2U	7	C11	41	16	0	NA	14	P06463	NA	C	11
PGADT7	7	C11	18	0	0	NA	NA	NA	NA	C	11
AD2U	7	C12	28480	13435	12294	P06921	12294	P06921	Yes	C	12
PGADT7	7	C12	7848	2711	2503	ENSG00000180806	2503	ENSG00000180806	Yes	C	12
AD2U	7	D01	9991	573	0	NA	91	A3F905	NA	D	01
PGADT7	7	D01	7424	199	0	NA	43	ENSG00000168286	NA	D	01
AD2U	7	D02	1011	353	124	P03203	124	P03203	Yes	D	02
PGADT7	7	D02	12004	3922	3714	ENSG00000136997	3714	ENSG00000136997	Yes	D	02
AD2U	7	D03	152903	34836	29368	A3F906	29368	A3F906	Yes	D	03
PGADT7	7	D03	36717	12141	0	ENSG00000162924	11180	ENSG00000158773	No	D	03
AD2U	7	D04	234772	53449	46798	P03129	46798	P03129	Yes	D	04
PGADT7	7	D04	4450	690	124	ENSG00000282899	124	ENSG00000163516	No	D	04
AD2U	7	D05	275	26	0	NA	7	P06932	NA	D	05
PGADT7	7	D05	830	200	180	ENSG00000171223	180	ENSG00000171223	Yes	D	05
AD2U	7	D06	143005	36812	33107	P06932	33107	P06932	Yes	D	06
PGADT7	7	D06	22990	695	0	ENSG00000130522	129	ENSG00000163516	No	D	06
AD2U	7	D07	156739	39904	34689	P06788	34689	P06788	Yes	D	07
PGADT7	7	D07	12808	3719	3099	ENSG00000089775	3099	ENSG00000089775	Yes	D	07
AD2U	7	D08	5130	316	0	NA	60	P03129	NA	D	08
PGADT7	7	D08	3301	122	0	NA	22	ENSG00000163516	NA	D	08
AD2U	7	D09	1561	704	0	Q77Q82	617	P06463	No	D	09
PGADT7	7	D09	1173	33	0	ENSG00000153560	5	ENSG00000144747	No	D	09
AD2U	7	D10	107182	28539	25297	P06932	25297	P06932	Yes	D	10
PGADT7	7	D10	20361	5998	5359	ENSG00000170345	5359	ENSG00000170345	Yes	D	10
AD2U	7	D11	6	3	1	P0C746	1	ENSG00000170345	No	D	11
PGADT7	7	D11	5	1	0	ENSG00000112182	1	ENSG00000144747	No	D	11
AD2U	7	D12	141636	63882	59449	A3F905	59449	A3F905	Yes	D	12
PGADT7	7	D12	88118	1497	0	ENSG00000086102	282	ENSG00000163516	No	D	12
AD2U	7	E01	12815	824	0	NA	147	A3F905	NA	E	01
PGADT7	7	E01	6665	213	0	NA	34	ENSG00000168286	NA	E	01
AD2U	7	E02	158324	75001	69816	P06463	69816	P06463	Yes	E	02
PGADT7	7	E02	26840	8340	7551	ENSG00000168286	7551	ENSG00000168286	Yes	E	02
AD2U	7	E03	11712	607	0	NA	130	A3F905	NA	E	03
PGADT7	7	E03	5615	221	0	NA	30	ENSG00000168286	NA	E	03
AD2U	7	E04	220142	37914	30102	P04608	30102	P04608	Yes	E	04
PGADT7	7	E04	4532	575	0	NA	137	ENSG00000163516	NA	E	04
AD2U	7	E05	40	12	0	NA	8	P06932	NA	E	05
PGADT7	7	E05	1	0	0	ENSG00000073282	NA	NA	NA	E	05
AD2U	7	E06	7351	451	0	NA	97	P03129	NA	E	06
PGADT7	7	E06	4724	166	0	NA	38	ENSG00000168286	NA	E	06
AD2U	7	E07	20000	8389	7780	A3F905	7780	A3F905	Yes	E	07
PGADT7	7	E07	7296	2555	2399	ENSG00000168286	2399	ENSG00000168286	Yes	E	07
AD2U	7	E08	6803	424	0	NA	88	P03129	NA	E	08
PGADT7	7	E08	5130	172	0	NA	24	ENSG00000168286	NA	E	08
AD2U	7	E09	104808	48356	43730	P06463	43730	P06463	Yes	E	09
PGADT7	7	E09	133273	2273	10	ENSG00000078900	468	ENSG00000163516	No	E	09
AD2U	7	E10	3	0	0	NA	NA	NA	NA	E	10
PGADT7	7	E10	0	0	0	ENSG00000197063	NA	NA	NA	E	10
AD2U	7	E11	6684	628	0	NA	126	A3F905	NA	E	11
PGADT7	7	E11	24082	5377	4981	ENSG00000188295	4981	ENSG00000188295	Yes	E	11
AD2U	7	E12	8185	532	0	NA	102	P03129	NA	E	12
PGADT7	7	E12	4655	167	0	NA	23	ENSG00000163516	NA	E	12
AD2U	7	F01	11343	618	0	NA	123	A3F905	NA	F	01
PGADT7	7	F01	6321	209	0	NA	35	ENSG00000168286	NA	F	01
AD2U	7	F02	812	31	0	NA	6	P06463	NA	F	02
PGADT7	7	F02	513	7	0	NA	2	ENSG00000163516	NA	F	02
AD2U	7	F03	82155	41443	38593	P06790	38593	P06790	Yes	F	03
PGADT7	7	F03	1938	446	236	ENSG00000180806	236	ENSG00000180806	Yes	F	03
AD2U	7	F04	149469	37514	33471	P06932	33471	P06932	Yes	F	04
PGADT7	7	F04	3537	399	0	NA	81	ENSG00000144747	NA	F	04
AD2U	7	F05	173603	29606	24012	P04608	24012	P04608	Yes	F	05
PGADT7	7	F05	3032	430	0	ENSG00000182568	93	ENSG00000163516	No	F	05
AD2U	7	F06	42534	20262	16207	P06790	16207	P06790	Yes	F	06
PGADT7	7	F06	28834	8856	8237	ENSG00000177311	8237	ENSG00000177311	Yes	F	06
AD2U	7	F07	72405	36088	33746	A3F908	33746	A3F908	Yes	F	07
PGADT7	7	F07	3752	243	2	ENSG00000112182	39	ENSG00000163516	No	F	07
AD2U	7	F08	43578	20635	17997	A3F908	17997	A3F908	Yes	F	08
PGADT7	7	F08	115600	22857	21056	ENSG00000144747	21056	ENSG00000144747	Yes	F	08
AD2U	7	F09	40323	20297	17318	P06921	17318	P06921	Yes	F	09
PGADT7	7	F09	760	115	25	ENSG00000116044	25	ENSG00000116044	Yes	F	09
AD2U	7	F10	7777	760	0	NA	160	A3F905	NA	F	10
PGADT7	7	F10	29585	8414	7786	ENSG00000172262	7786	ENSG00000172262	Yes	F	10
AD2U	7	F11	133316	30360	25378	A3F906	25378	A3F906	Yes	F	11
PGADT7	7	F11	27069	8818	8105	ENSG00000168286	8105	ENSG00000168286	Yes	F	11
AD2U	7	F12	8678	526	0	NA	90	P03129	NA	F	12
PGADT7	7	F12	5496	177	0	NA	24	ENSG00000168286	NA	F	12
AD2U	7	G01	3205	212	0	NA	45	P03129	NA	G	01
PGADT7	7	G01	2016	91	0	NA	21	ENSG00000168286	NA	G	01
AD2U	7	G02	3918	1226	72	Q2HR73	207	A3F905	No	G	02
PGADT7	7	G02	89934	30085	28854	ENSG00000163516	28854	ENSG00000163516	Yes	G	02
AD2U	7	G03	187334	83570	78581	A3F905	78581	A3F905	Yes	G	03
PGADT7	7	G03	3791	505	0	NA	112	ENSG00000163516	NA	G	03
AD2U	7	G04	15515	6902	6292	P14079	6292	P14079	Yes	G	04
PGADT7	7	G04	360	48	0	ENSG00000005102	9	ENSG00000144747	No	G	04
AD2U	7	G05	342205	9552	1911	P06932	1911	P06932	Yes	G	05
PGADT7	7	G05	6957	734	0	ENSG00000157554	152	ENSG00000163516	No	G	05
AD2U	7	G06	35964	1322	0	P03126	224	A3F905	No	G	06
PGADT7	7	G06	542	69	0	ENSG00000109101	13	ENSG00000177606	No	G	06
AD2U	7	G07	61186	29005	26786	P06790	26786	P06790	Yes	G	07
PGADT7	7	G07	2457	528	353	ENSG00000116044	353	ENSG00000116044	Yes	G	07
AD2U	7	G08	215602	52193	45412	P06788	45412	P06788	Yes	G	08
PGADT7	7	G08	3607	550	0	ENSG00000137203	135	ENSG00000163516	No	G	08
AD2U	7	G09	8621	503	0	NA	94	P03129	NA	G	09
PGADT7	7	G09	5062	162	0	NA	26	ENSG00000168286	NA	G	09
AD2U	7	G10	176581	40594	35888	P03129	35888	P03129	Yes	G	10
PGADT7	7	G10	5994	1397	931	ENSG00000166478	931	ENSG00000166478	Yes	G	10
AD2U	7	G11	2165	549	51	P03204	84	P06932	No	G	11
PGADT7	7	G11	37266	13063	12436	ENSG00000136997	12436	ENSG00000136997	Yes	G	11
AD2U	7	G12	6632	1895	72	A3F906	318	A3F905	No	G	12
PGADT7	7	G12	64539	5922	5146	ENSG00000171223	5146	ENSG00000171223	Yes	G	12
AD2U	7	H01	4227	302	0	NA	67	P03129	NA	H	01
PGADT7	7	H01	2338	101	0	NA	18	ENSG00000168286	NA	H	01
AD2U	7	H02	6024	391	0	NA	85	P03129	NA	H	02
PGADT7	7	H02	2705	115	0	NA	27	ENSG00000168286	NA	H	02
AD2U	7	H03	2882	175	0	NA	37	A3F905	NA	H	03
PGADT7	7	H03	943	44	0	NA	8	ENSG00000136997	NA	H	03
AD2U	7	H04	9360	538	0	NA	104	A3F905	NA	H	04
PGADT7	7	H04	4739	163	0	NA	24	ENSG00000163516	NA	H	04
AD2U	7	H05	9529	575	0	NA	114	P03129	NA	H	05
PGADT7	7	H05	5856	190	0	NA	34	ENSG00000168286	NA	H	05
AD2U	7	H06	8902	533	0	NA	117	A3F905	NA	H	06
PGADT7	7	H06	5370	193	0	NA	35	ENSG00000168286	NA	H	06
AD2U	7	H07	5844	369	0	NA	79	A3F905	NA	H	07
PGADT7	7	H07	3951	146	0	NA	30	ENSG00000168286	NA	H	07
AD2U	7	H08	6148	391	0	NA	82	P03129	NA	H	08
PGADT7	7	H08	3468	127	0	NA	26	ENSG00000168286	NA	H	08
AD2U	7	H09	6669	421	0	NA	87	P03129	NA	H	09
PGADT7	7	H09	3703	122	0	NA	24	ENSG00000168286	NA	H	09
AD2U	7	H10	6422	407	0	NA	86	P03129	NA	H	10
PGADT7	7	H10	3616	134	0	NA	20	ENSG00000168286	NA	H	10
AD2U	7	H11	7000	463	0	NA	99	P03129	NA	H	11
PGADT7	7	H11	3559	138	0	NA	21	ENSG00000163516	NA	H	11
AD2U	7	H12	6439	441	0	NA	86	P03129	NA	H	12
PGADT7	7	H12	3600	136	0	NA	29	ENSG00000168286	NA	H	12
AD2U	8	A01	12385	4602	0	NA	4044	Q9JFM0	NA	A	01
PGADT7	8	A01	8160	2663	2500	ENSG00000113916	2500	ENSG00000113916	Yes	A	01
AD2U	8	A02	185297	29135	21466	P04608	21466	P04608	Yes	A	02
PGADT7	8	A02	3134	359	0	ENSG00000112182	60	ENSG00000089775	No	A	02
AD2U	8	A03	3707	1448	0	NA	937	Q9JFM0	NA	A	03
PGADT7	8	A03	29243	11269	0	ENSG00000162924	10846	ENSG00000158773	No	A	03
AD2U	8	A04	63522	26449	23085	P06790	23085	P06790	Yes	A	04
PGADT7	8	A04	953	104	0	ENSG00000124813	24	ENSG00000168286	No	A	04
AD2U	8	A05	14172	4629	238	A3F906	1200	Q9JFM0	No	A	05
PGADT7	8	A05	82497	487	0	NA	76	ENSG00000168286	NA	A	05
AD2U	8	A06	103475	24226	19382	A3F906	19382	A3F906	Yes	A	06
PGADT7	8	A06	8865	2835	2571	ENSG00000089775	2571	ENSG00000089775	Yes	A	06
AD2U	8	A07	7159	2498	0	NA	2104	Q9JFM0	NA	A	07
PGADT7	8	A07	14074	5562	5375	ENSG00000180806	5375	ENSG00000180806	Yes	A	07
AD2U	8	A08	7859	2987	0	NA	783	A3F908	NA	A	08
PGADT7	8	A08	181502	1965	15	ENSG00000078900	292	ENSG00000168286	No	A	08
AD2U	8	A09	160813	35503	29996	P06788	29996	P06788	Yes	A	09
PGADT7	8	A09	2631	313	48	ENSG00000282899	48	ENSG00000282899	Yes	A	09
AD2U	8	A10	64961	30113	27403	P03120	27403	P03120	Yes	A	10
PGADT7	8	A10	937	91	0	NA	21	ENSG00000168286	NA	A	10
AD2U	8	A11	143506	62127	57181	P06930	57181	P06930	Yes	A	11
PGADT7	8	A11	2216	234	0	ENSG00000134323	41	ENSG00000198040	No	A	11
AD2U	8	A12	1969	543	0	NA	334	Q9JFM0	NA	A	12
PGADT7	8	A12	246	9	0	NA	2	ENSG00000168286	NA	A	12
AD2U	8	B01	9289	2950	0	NA	357	P06463	NA	B	01
PGADT7	8	B01	224111	2314	0	ENSG00000140396	354	ENSG00000198040	No	B	01
AD2U	8	B02	37158	19149	17220	P06921	17220	P06921	Yes	B	02
PGADT7	8	B02	3390	948	841	ENSG00000124813	841	ENSG00000124813	Yes	B	02
AD2U	8	B03	34917	11418	0	P19893	7958	P03169	No	B	03
PGADT7	8	B03	1464	353	274	ENSG00000162702	274	ENSG00000162702	Yes	B	03
AD2U	8	B04	41759	22344	20536	P03120	20536	P03120	Yes	B	04
PGADT7	8	B04	21204	6821	6414	ENSG00000198040	6414	ENSG00000198040	Yes	B	04
AD2U	8	B05	9941	2250	0	NA	1669	Q9JFM0	NA	B	05
PGADT7	8	B05	13198	3932	3672	ENSG00000116044	3672	ENSG00000116044	Yes	B	05
AD2U	8	B06	141464	78964	73890	P0C746	73890	P0C746	Yes	B	06
PGADT7	8	B06	1906	187	0	NA	38	ENSG00000089775	NA	B	06
AD2U	8	B07	116093	51324	47201	P06930	47201	P06930	Yes	B	07
PGADT7	8	B07	4869	1258	978	ENSG00000136997	978	ENSG00000136997	Yes	B	07
AD2U	8	B08	5900	2076	0	NA	1814	Q9JFM0	NA	B	08
PGADT7	8	B08	235	18	0	NA	3	ENSG00000089775	NA	B	08
AD2U	8	B09	109556	51324	47438	P06463	47438	P06463	Yes	B	09
PGADT7	8	B09	1785	168	0	NA	35	ENSG00000089775	NA	B	09
AD2U	8	B10	37919	20031	18373	P03120	18373	P03120	Yes	B	10
PGADT7	8	B10	11225	2520	2307	ENSG00000188295	2307	ENSG00000188295	Yes	B	10
AD2U	8	B11	116043	28832	24297	P06932	24297	P06932	Yes	B	11
PGADT7	8	B11	9281	2806	2466	ENSG00000089775	2466	ENSG00000089775	Yes	B	11
AD2U	8	B12	1155	421	0	NA	343	Q9JFM0	NA	B	12
PGADT7	8	B12	81	10	0	NA	3	ENSG00000198040	NA	B	12
AD2U	8	C01	4496	937	0	NA	721	Q9JFM0	NA	C	01
PGADT7	8	C01	1509	437	402	ENSG00000125347	402	ENSG00000125347	Yes	C	01
AD2U	8	C02	83202	44106	40549	P06790	40549	P06790	Yes	C	02
